Group	N_of_reads	Prerc_partial	Perc_total
Unmapped	6966	-	9.85
Only_vector_reads	9594	-	13.57
No_consensous_breakpoint_reads	27345	-	38.67
1284_1414-2342_2557-3262_3427	15506	57.9	21.93
1284_1414-2342_2356-3262_3427	3667	13.7	5.19
1284_1414-2206_2247-2342_2557-3262_3427	1819	6.8	2.57
2342_2557-3262_3427	1465	5.5	2.07
1284_1414-2342_2354-3262_3427	1422	5.3	2.01
1284_1414-2206_2247-2342_2356-3262_3427	689	2.6	0.97
1284_1414-2342_2356	456	1.7	0.64
1284_1414-3262_3427	436	1.6	0.62
1284_1414-2206_2247-2342_2354-3262_3427	356	1.3	0.5
1284_1414	308	1.1	0.44
3262_3427	237	0.9	0.34
2206_2247-2342_2557-3262_3427	98	0.4	0.14
2342_2356	66	0.2	0.09
1284_1414-2342_2557	55	0.2	0.08
2342_2356-3262_3427	44	0.2	0.06
1284_1414-2206_2247-3262_3427	34	0.1	0.05
1284_1414-2342_2354	27	0.1	0.04
1284_1414-2206_2247	24	0.1	0.03
1284_1414-2206_2247-2342_2356	23	0.1	0.03
2206_2247-2342_2356-3262_3427	19	0.1	0.03
1284_1414-2206_2247-2342_2557	8	0	0.01
1284_1414-2342_3427	8	0	0.01
2342_2354-3262_3427	8	0	0.01
2206_2247-2342_2354-3262_3427	6	0	0.01
2342_2557	5	0	0.01
2342_2354	3	0	0
1284_1414-2206_2247-2342_2354	2	0	0
1284_1414-2206_2247-2342_3427	2	0	0
2206_2247-3262_3427	2	0	0
2206_2557-3262_3427	2	0	0
1284_1414-2206_2557-3262_3427	1	0	0
2206_2247-2342_2356	1	0	0
2342_3427	1	0	0
